company_id,contract_months,monthly_fee,active_users_ratio,login_freq_per_week,feature_usage_score,support_tickets_90d,nps_score,payment_delays_count,churned
C-0000,29,36186,0.31,8.6,0.39,11,8,4,0
C-0001,15,31928,0.32,4.2,0.8,7,4,4,1
C-0002,8,88087,0.44,3.9,0.98,1,8,3,0
C-0003,21,92029,0.31,13.7,0.39,8,4,0,0
C-0004,19,25711,0.6,12.1,0.85,15,3,2,1
C-0005,23,59962,0.22,11.4,0.99,14,1,4,1
C-0006,11,25039,0.39,2.2,0.98,13,1,2,0
C-0007,11,41561,0.92,10.7,0.43,19,0,0,1
C-0008,24,80483,0.47,3.4,0.49,3,9,4,0
C-0009,24,86395,0.77,13.7,0.3,3,2,3,1
C-0010,3,93658,0.2,1.2,0.31,10,0,0,1
C-0011,22,6577,0.32,5.3,0.49,17,5,2,0
C-0012,2,33350,0.83,6.3,0.2,4,10,3,0
C-0013,24,38798,0.79,11.6,0.71,1,6,0,0
C-0014,30,86417,0.45,10.8,0.54,14,8,4,0
C-0015,2,15785,0.96,5.6,0.9,10,6,0,1
C-0016,21,77227,0.92,8.1,0.81,16,3,1,0
C-0017,33,66957,0.97,11.8,0.32,15,3,2,1
C-0018,12,70431,0.49,0.7,0.51,14,7,4,0
C-0019,22,22297,0.28,11.3,0.75,2,3,4,0
C-0020,25,76894,0.66,13.3,0.19,19,0,1,1
C-0021,27,68772,0.72,0.9,0.03,14,8,3,1
C-0022,28,24581,0.21,1.1,0.85,18,2,4,1
C-0023,16,60192,0.81,5.2,0.14,12,0,3,1
C-0024,15,6462,0.12,1.7,0.89,15,8,3,1
C-0025,3,69173,0.53,7.0,0.91,11,10,3,0
C-0026,7,20511,0.4,10.3,0.46,16,10,0,0
C-0027,21,81106,0.77,8.2,0.81,15,9,1,0
C-0028,9,53665,0.38,3.2,0.36,8,9,2,1
C-0029,18,49414,0.84,9.3,0.86,5,4,1,0
C-0030,4,86010,0.64,9.7,0.82,18,8,4,0
C-0031,25,77573,0.81,13.1,0.08,12,2,1,1
C-0032,14,98665,0.99,2.5,0.58,7,5,2,0
C-0033,9,18386,0.71,9.8,0.64,11,10,0,0
C-0034,26,59460,0.99,12.8,0.0,8,10,4,0
C-0035,2,11221,0.13,7.3,0.98,3,6,0,1
C-0036,20,28474,0.4,5.4,0.41,12,4,4,0
C-0037,28,26045,0.2,2.8,0.52,1,7,2,1
C-0038,7,96319,0.34,12.2,0.19,2,9,0,0
C-0039,8,9922,0.85,5.8,0.61,4,5,2,0
C-0040,35,27706,0.13,13.0,0.81,17,5,2,1
C-0041,14,47771,0.57,11.9,0.59,13,6,1,0
C-0042,17,57335,0.61,5.6,0.79,1,7,4,0
C-0043,4,57949,0.61,8.2,0.73,14,1,3,0
C-0044,2,75714,0.53,0.9,0.24,7,6,3,1
C-0045,6,20240,0.81,4.1,0.44,15,8,0,0
C-0046,4,96756,0.22,10.1,0.15,2,0,2,1
C-0047,29,7716,0.38,9.7,0.04,19,0,1,1
C-0048,18,21574,0.65,5.3,0.06,19,6,4,0
C-0049,26,88255,0.72,11.4,0.94,4,4,0,0
C-0050,34,78717,0.46,3.7,0.98,3,0,2,1
C-0051,10,49066,0.89,6.7,0.09,11,0,3,0
C-0052,14,66826,0.47,6.9,0.34,18,1,3,0
C-0053,31,25213,0.46,5.1,0.11,14,10,4,1
C-0054,15,76916,0.13,13.4,0.83,12,9,4,1
C-0055,8,71151,0.6,9.9,0.5,4,8,4,0
C-0056,14,55906,0.74,7.8,0.62,11,2,0,1
C-0057,23,5463,0.2,7.4,0.54,18,8,4,1
C-0058,21,36973,0.37,2.7,0.71,1,5,0,0
C-0059,16,79694,0.8,5.5,0.32,6,9,1,1
C-0060,18,25651,0.43,9.6,0.14,4,5,2,0
C-0061,24,73694,0.32,13.0,0.02,19,6,3,1
C-0062,26,25008,0.7,11.5,0.45,10,9,0,0
C-0063,25,75474,0.28,4.6,0.91,17,10,2,1
C-0064,29,43185,0.91,6.4,0.31,17,7,4,0
C-0065,15,92924,0.2,1.6,0.2,6,10,3,1
C-0066,1,79417,0.74,1.9,0.93,9,2,0,0
C-0067,25,76139,0.55,6.8,0.11,19,7,4,0
C-0068,7,39980,0.88,7.7,0.05,13,5,2,1
C-0069,9,27504,0.21,4.1,0.88,19,5,1,1
C-0070,24,59970,0.71,9.2,0.7,19,10,2,0
C-0071,1,21766,0.61,10.0,0.42,10,2,0,1
C-0072,8,98922,0.53,4.5,0.75,1,5,1,1
C-0073,24,16695,0.54,10.7,0.74,12,10,1,1
C-0074,11,22796,0.75,3.3,0.04,12,7,4,1
C-0075,17,47543,0.94,7.8,0.68,8,6,2,0
C-0076,8,19559,0.18,11.4,0.64,16,9,0,0
C-0077,35,38139,0.12,7.7,0.96,14,9,1,1
C-0078,35,13802,0.83,12.8,0.97,15,6,4,0
C-0079,33,78843,0.2,1.3,0.38,9,2,1,1
C-0080,5,45205,0.99,8.4,0.59,19,9,2,0
C-0081,28,39159,0.66,8.1,0.14,11,2,3,1
C-0082,7,16516,0.69,9.4,0.07,4,4,0,0
C-0083,9,55492,0.28,11.8,0.43,19,4,3,1
C-0084,8,34086,0.32,10.3,0.69,16,8,2,1
C-0085,12,35480,0.69,11.2,0.57,9,8,3,0
C-0086,34,57091,0.92,4.4,0.43,5,9,2,1
C-0087,33,52766,0.98,5.7,0.82,19,4,2,1
C-0088,23,43737,0.28,9.0,0.79,5,4,4,0
C-0089,24,14265,0.22,8.0,0.73,11,5,3,1
C-0090,35,75990,0.15,13.5,0.08,18,7,1,1
C-0091,22,96717,0.88,3.0,0.8,1,5,2,0
C-0092,27,20386,0.37,5.2,0.92,12,10,3,0
C-0093,35,42425,0.1,8.2,0.06,19,5,1,1
C-0094,1,48254,0.3,12.2,0.4,10,8,0,0
C-0095,35,94863,0.41,13.0,0.99,14,0,1,1
C-0096,14,58634,0.99,5.0,0.6,12,3,3,0
C-0097,3,91717,0.57,1.4,0.51,2,9,3,0
C-0098,1,52662,0.28,6.2,0.18,13,9,1,1
C-0099,5,91988,0.4,5.8,0.57,7,1,1,0
C-0100,26,92527,0.4,13.8,0.44,8,8,2,0
C-0101,14,80452,0.12,6.3,0.13,14,2,3,1
C-0102,27,15143,0.22,4.6,0.46,17,9,2,1
C-0103,9,96391,0.73,5.4,0.16,7,10,2,0
C-0104,15,20581,0.21,5.9,0.73,10,1,0,1
C-0105,15,72443,0.31,11.6,0.97,4,7,3,0
C-0106,26,34424,0.42,1.6,0.47,14,3,2,1
C-0107,13,93844,0.78,4.8,0.63,14,10,0,0
C-0108,32,46984,0.62,13.5,0.43,6,1,2,0
C-0109,32,46505,0.72,2.6,0.14,17,3,2,1
C-0110,4,67699,0.61,10.5,0.97,11,6,3,0
C-0111,30,31957,0.72,5.3,0.13,11,6,1,0
C-0112,23,30464,0.1,8.4,0.11,3,0,1,1
C-0113,15,28649,0.94,1.8,0.46,10,0,3,1
C-0114,29,47065,0.2,4.6,0.66,5,2,1,0
C-0115,13,97661,0.47,7.3,0.35,9,1,4,0
C-0116,32,39758,0.79,3.6,0.19,14,2,1,1
C-0117,7,10596,0.49,7.8,0.82,0,3,2,1
C-0118,22,21374,0.95,3.5,0.36,16,6,2,0
C-0119,28,8775,0.52,9.3,0.19,2,1,0,0
C-0120,2,32388,0.89,12.7,0.37,10,6,3,0
C-0121,6,26029,0.83,1.7,0.21,17,4,0,1
C-0122,28,88981,0.98,3.4,0.52,9,7,2,0
C-0123,28,58639,0.93,11.9,0.67,8,7,2,0
C-0124,20,19645,0.91,9.0,0.8,6,4,0,0
C-0125,30,36105,0.76,1.6,0.23,10,9,4,1
C-0126,11,18668,0.43,7.1,0.17,7,7,1,0
C-0127,28,20960,0.2,3.3,0.02,1,8,4,1
C-0128,25,16357,0.72,3.2,0.23,4,6,4,0
C-0129,33,69604,0.98,13.2,0.02,8,5,4,0
C-0130,1,56796,0.75,10.8,0.35,0,6,4,1
C-0131,27,20804,0.94,9.9,0.15,16,6,1,1
C-0132,13,19626,0.82,3.7,0.58,9,2,3,1
C-0133,3,33132,0.25,2.1,0.38,7,5,0,0
C-0134,6,12951,0.32,12.3,0.09,17,5,4,1
C-0135,8,11449,0.41,0.6,0.4,9,10,4,0
C-0136,27,24065,0.25,5.7,0.21,8,8,0,0
C-0137,9,14130,0.62,4.2,0.68,3,0,0,1
C-0138,33,94360,0.98,8.2,0.36,1,6,3,0
C-0139,24,67287,0.79,3.9,0.15,18,0,2,1
C-0140,15,56702,0.48,4.7,0.35,9,9,3,1
C-0141,32,41993,0.1,12.0,0.22,16,3,2,1
C-0142,32,36875,0.38,8.6,0.8,2,6,1,0
C-0143,24,11054,0.57,2.5,0.98,18,5,3,0
C-0144,12,53517,0.39,10.3,0.03,18,5,1,1
C-0145,2,81368,0.2,3.3,0.69,18,4,0,1
